,sna,tot,sbi,sarea,mday,ar,bemp,act
669,YouBike2.0_文湖國小,31,2,內湖區,2023-05-27 14:14:14,文湖街21巷口北側,29,1
670,YouBike2.0_文湖街81巷10號西側,14,2,內湖區,2023-05-27 14:17:34,文湖街81巷10號西側,10,1
671,YouBike2.0_德明財經科技大學,27,3,內湖區,2023-05-27 14:17:34,環山路一段56號南側,24,1
672,YouBike2.0_麗山國小,15,5,內湖區,2023-05-27 14:13:15,內湖路一段411巷56號東側,10,1
674,YouBike2.0_港華五號公園,16,0,內湖區,2023-05-27 12:40:10,環山路二段81號西北側,16,1
675,YouBike2.0_大湖國小,25,1,內湖區,2023-05-27 14:17:24,大湖山莊街/大湖山莊街176巷(東南側),22,1
676,YouBike2.0_安湖三號公園,12,4,內湖區,2023-05-27 14:15:15,東湖路113巷49弄3號北側,8,1
677,YouBike2.0_東湖路113巷95弄,10,0,內湖區,2023-05-27 10:23:04,東湖路113巷95弄13號西側,9,1
679,YouBike2.0_文德三號公園(江南街71巷16弄),15,2,內湖區,2023-05-27 14:11:04,瑞光路271號東南側,13,1
681,YouBike2.0_康寧星雲街口,12,3,內湖區,2023-05-27 14:08:15,康寧路一段116號,9,1
682,YouBike2.0_星雲街47號,15,1,內湖區,2023-05-27 14:10:20,星雲街47號南側,14,1
684,YouBike2.0_捷運西湖站(2號出口),12,2,內湖區,2023-05-27 14:18:13,內湖路一段291號(對面),10,1
686,YouBike2.0_港都公園,15,7,內湖區,2023-05-27 14:12:15,港華街57號(對面),8,1
687,YouBike2.0_環山路二段26巷口,29,5,內湖區,2023-05-27 14:03:15,環山路二段/環山路二段26巷(西南側),24,1
689,YouBike2.0_碧山公園,31,7,內湖區,2023-05-27 14:12:15,內湖路三段60巷28號東側,24,1
690,YouBike2.0_金瑞公園,20,7,內湖區,2023-05-27 14:14:14,金龍路203-8號北側,12,1
691,YouBike2.0_捷運文德站(2號出口),49,8,內湖區,2023-05-27 14:13:15,文德路212號旁,41,1
692,YouBike2.0_陽光公園,16,4,內湖區,2023-05-27 12:39:15,陽光街與文德路220巷口西側,12,1
693,YouBike2.0_文德二號公園(南側),13,1,內湖區,2023-05-27 13:56:04,陽光街與陽光街68巷102弄口,12,1
694,YouBike2.0_文德二號公園(北側),15,7,內湖區,2023-05-27 14:15:15,文德路210巷12號對側,7,1
695,YouBike2.0_瑞陽公園,12,1,內湖區,2023-05-27 14:04:19,文德路22巷6號(對面),11,1
696,YouBike2.0_湖光國宅,22,8,內湖區,2023-05-27 14:17:34,文德路22巷與文德路22巷74弄口,13,1
697,YouBike2.0_潭美街213號,12,7,內湖區,2023-05-27 13:54:15,潭美街213號南側,5,1
699,YouBike2.0_潭美國小(南京舊宗路口),16,1,內湖區,2023-05-27 13:58:04,行善路179號南側,15,1
700,YouBike2.0_新明路343號,10,1,內湖區,2023-05-27 14:01:16,新明路341號北側,9,1
701,YouBike2.0_週美里活動廣場,17,4,內湖區,2023-05-27 14:04:19,潭美街139號對側,13,1
702,YouBike2.0_內湖行政中心,25,9,內湖區,2023-05-27 13:47:14,民權東路六段99號(前),16,1
703,YouBike2.0_樂康公園,20,5,內湖區,2023-05-27 12:52:15,康樂街61巷73弄22-1號南側,15,1
704,YouBike2.0_安康路32巷24弄,21,1,內湖區,2023-05-27 13:59:15,安康路32巷24弄22號,20,1
705,YouBike2.0_明美公園,18,4,內湖區,2023-05-27 14:10:20,石潭路27號南側,14,1
706,YouBike2.0_南京東路六段368巷,33,7,內湖區,2023-05-27 14:15:15,南京東路六段382號西南側,26,1
707,YouBike2.0_新明成功路口,18,7,內湖區,2023-05-27 13:48:15,新明路22號,8,1
708,YouBike2.0_民權瑞光路口,20,8,內湖區,2023-05-27 13:58:15,民權東路六段50號,12,1
709,YouBike2.0_瑞光公共住宅(瑞光路),18,0,內湖區,2023-05-27 12:23:04,瑞光路160號,18,1
710,YouBike2.0_民權東路六段15巷,17,1,內湖區,2023-05-27 01:11:15,民權東路六段15巷29號,16,1
711,YouBike2.0_扶輪親恩公園,17,0,內湖區,2023-05-27 13:54:04,民權東路六段30號,16,1
714,YouBike2.0_行善公園,20,8,內湖區,2023-05-27 13:06:16,潭美街27號西側,12,1
715,YouBike2.0_三軍總醫院,14,4,內湖區,2023-05-27 14:09:14,成功路二段424號(對面),10,1
716,YouBike2.0_福華商場,20,0,內湖區,2023-05-27 13:56:04,民權東路六段/民權東路六段180巷(西南側),20,1
717,YouBike2.0_臺北市網球中心,16,5,內湖區,2023-05-27 13:52:15,民權東路六段208號(前),11,1
719,YouBike2.0_麗湖國小,18,7,內湖區,2023-05-27 13:59:15,金湖路363巷11號(對面),11,1
720,YouBike2.0_金湖路347巷125弄口,15,0,內湖區,2023-05-27 13:41:04,金湖路347巷125弄1號(對面),15,1
721,YouBike2.0_碧湖公園,15,7,內湖區,2023-05-27 13:57:15,內湖路二段/內湖路二段103巷口(東北側),7,1
722,YouBike2.0_碧湖公園(內湖路二段103巷),19,6,內湖區,2023-05-27 14:15:15,內湖路二段103巷76號(對面),13,1
723,YouBike2.0_貿七社區,17,1,內湖區,2023-05-27 13:56:16,內湖路二段179巷48弄17號(旁),16,1
724,YouBike2.0_內湖區農會,12,6,內湖區,2023-05-27 13:48:15,內湖路二段334號(前),6,1
725,YouBike2.0_捷運內湖站(2號出口),10,6,內湖區,2023-05-27 14:12:15,成功路四段167巷6弄2號(旁),3,1
726,YouBike2.0_康寧金湖路口,14,0,內湖區,2023-05-27 12:48:04,康寧路一段273號(對面),14,1
727,YouBike2.0_康寧路一段156巷20弄口,17,0,內湖區,2023-05-27 14:17:24,康寧路一段156巷/康寧路一段156巷20弄(西側),17,1
729,YouBike2.0_安泰街83巷,20,5,內湖區,2023-05-27 14:16:16,安泰街83巷3號(對面),15,1
730,YouBike2.0_內溝溪生態展示館,8,3,內湖區,2023-05-27 13:54:15,康樂街236-3號(前),5,1
731,YouBike2.0_捷運港墘站(2號出口),47,0,內湖區,2023-05-27 14:15:04,內湖路一段520號,45,1
732,YouBike2.0_東湖國中,16,6,內湖區,2023-05-27 13:47:14,康樂街125巷4號(對面),10,1
733,YouBike2.0_石潭公園(安康路),20,5,內湖區,2023-05-27 14:16:16,安康路28號西北側,15,1
735,YouBike2.0_康寧公園(北側),20,4,內湖區,2023-05-27 14:11:15,康寧路三段60號南側,16,1
736,YouBike2.0_康寧路三段54巷口,15,8,內湖區,2023-05-27 14:03:15,康寧路三段54-5號西側,7,1
738,YouBike2.0_新明路460巷口,15,8,內湖區,2023-05-27 13:52:15,南京東路六段122號(斜前方),7,1
739,YouBike2.0_下灣公園,16,3,內湖區,2023-05-27 14:10:20,民權東路六段206巷/民權東路六段190巷75弄(西北側),13,1
740,YouBike2.0_民權東路六段245巷口,12,7,內湖區,2023-05-27 14:01:16,民權東路六段247號(前),5,1
743,YouBike2.0_瑞光港墘路口,15,8,內湖區,2023-05-27 14:14:14,港墘路185號前,6,1
744,YouBike2.0_瑞湖陽光街口,25,6,內湖區,2023-05-27 14:18:13,瑞湖街101號對側,18,1
745,YouBike2.0_金龍公園,15,2,內湖區,2023-05-27 14:01:16,金龍路112巷口(金龍公園側),13,1
746,YouBike2.0_星雲街138巷1弄口,15,4,內湖區,2023-05-27 14:17:34,星雲街138巷18號,10,1
747,YouBike2.0_東湖一號公園,10,0,內湖區,2023-05-27 12:50:08,康寧路三段189巷163弄13號東南側,10,1
748,YouBike2.0_東湖二號公園,15,0,內湖區,2023-05-27 13:55:11,康寧路三段99巷39弄70號東南側,14,1
749,YouBike2.0_康湖二號公園(康寧醫院),16,3,內湖區,2023-05-27 14:05:16,成功路五段420巷17號東側,11,1
750,YouBike2.0_堤頂大道新湖一路口,13,0,內湖區,2023-05-27 12:07:04,堤頂大道一段215號前,12,1
752,YouBike2.0_舊宗行善路口,9,2,內湖區,2023-05-27 14:16:16,行善路179號西側,7,1
754,YouBike2.0_成功路四段41巷口,12,6,內湖區,2023-05-27 14:17:34,成功路四段41巷6號前側,6,1
755,YouBike2.0_金湖星雲街口,30,0,內湖區,2023-05-27 13:17:22,金湖路83號對側,30,1
756,YouBike2.0_國防醫學院,15,1,內湖區,2023-05-27 14:09:14,民權東路六段161號前側,14,1
757,YouBike2.0_民權東路六段190巷117弄口,15,3,內湖區,2023-05-27 13:47:14,民權東路六段190巷117弄15號對側,12,1
759,YouBike2.0_九華公園,16,4,內湖區,2023-05-27 14:12:15,文湖街21巷68弄25-6號北側,12,1
760,YouBike2.0_內湖路二段179巷口,16,4,內湖區,2023-05-27 14:10:20,內湖路二段179巷242號對側,11,1
761,YouBike2.0_行善行愛路口,12,0,內湖區,2023-05-27 11:35:05,行善路243號(前),12,1
763,YouBike2.0_統振大樓,25,9,內湖區,2023-05-27 13:58:15,安美街181號前,16,1
764,YouBike2.0_陽光街161巷口,16,4,內湖區,2023-05-27 13:41:16,陽光街161巷14號對側,11,1
765,YouBike2.0_潭美公園(南京東路六段368巷),18,3,內湖區,2023-05-27 13:24:14,南京東路六段366號對側,14,1
767,YouBike2.0_三民國中(民權東路六段47巷),13,4,內湖區,2023-05-27 14:16:16,民權東路六段47巷6號對側,9,1
768,YouBike2.0_瑞光路76巷口,12,1,內湖區,2023-05-27 08:01:04,瑞光路102號前,11,1
770,YouBike2.0_新湖國小,12,2,內湖區,2023-05-27 11:43:15,民權東路六段/成功路二段320巷31弄(東南側),10,1
771,YouBike2.0_碧山內湖路口,16,0,內湖區,2023-05-27 14:08:04,內湖路三段72巷15號西側,16,1
772,YouBike2.0_民權東路六段413巷,16,2,內湖區,2023-05-27 14:18:13,民權東路六段409號前,14,1
773,YouBike2.0_宏匯瑞光廣場(瑞光路),16,2,內湖區,2023-05-27 13:19:14,瑞光路353號前(瑞光路側人行道),14,1
774,YouBike2.0_宏匯瑞光廣場(港墘路),20,9,內湖區,2023-05-27 14:16:16,瑞光路355號前(港墘路側人行道),11,1
775,YouBike2.0_康樂街151巷,14,7,內湖區,2023-05-27 14:16:16,康樂街151巷/康樂街,7,1
776,YouBike2.0_內湖路一段360巷,15,0,內湖區,2023-05-27 14:05:05,內湖路一段358號,15,1
777,YouBike2.0_成功路三段83號前,11,0,內湖區,2023-05-27 13:59:05,成功路三段83號前,11,1
778,YouBike2.0_內湖路一段47巷,16,1,內湖區,2023-05-27 14:15:04,內湖路一段47巷/內湖路一段47巷22弄,15,1
779,YouBike2.0_陽光舊宗路口,20,4,內湖區,2023-05-27 13:53:15,陽光街/舊宗路二段,16,1
780,YouBike2.0_安湖公園,8,0,內湖區,2023-05-27 09:32:04,東湖路113巷95弄/康寧路三段75巷,8,1
781,YouBike2.0_湖興公園,16,7,內湖區,2023-05-27 14:14:14,成功路二段250巷23弄/成功路二段312巷,8,1
782,YouBike2.0_安泰街(康樂橋下),15,3,內湖區,2023-05-27 12:10:19,安泰街(康樂橋下),12,1
783,YouBike2.0_康樂綠地,15,3,內湖區,2023-05-27 14:08:15,康樂街191巷/康樂街,12,1
784,YouBike2.0_捷運港墘站(1號出口),23,2,內湖區,2023-05-27 14:13:15,內湖路一段663號前,21,1
785,YouBike2.0_明美公園(行善路333巷),16,0,內湖區,2023-05-27 13:53:04,行善路333巷92號前,16,1
786,YouBike2.0_行善路383巷,17,1,內湖區,2023-05-27 14:13:15,行善路383巷27號對側,15,1
787,YouBike2.0_舊宗新湖三路口,18,5,內湖區,2023-05-27 14:12:15,舊宗路一段/新湖三路(南側),13,1
788,YouBike2.0_內湖運動公園,17,6,內湖區,2023-05-27 14:10:20,舊宗路二段/民權東路六段11巷,11,1
789,YouBike2.0_內湖路三段326巷口,15,2,內湖區,2023-05-27 13:52:04,內湖路三段326巷/內湖路三段,13,1
790,YouBike2.0_成功公園,11,3,內湖區,2023-05-27 13:26:19,成功路四段223巷/成功路四段223巷6弄,8,1
791,YouBike2.0_康寧路三段189巷93弄口,14,0,內湖區,2023-05-27 13:48:04,康寧路三段189巷/康寧路三段189巷93弄,13,1
792,YouBike2.0_中國醫藥大學附設醫院臺北分院,13,2,內湖區,2023-05-27 14:13:15,內湖路二段368號對側,9,1
793,YouBike2.0_康樂抽水站,15,4,內湖區,2023-05-27 13:49:15,東湖路160巷23號,11,1
794,YouBike2.0_環山路三段16巷口,13,4,內湖區,2023-05-27 13:30:39,環山路三段/環山路三段16巷口(東南側),9,1
795,YouBike2.0_文德一號綠地,15,6,內湖區,2023-05-27 14:18:03,內湖區文德路91號旁,9,1
796,YouBike2.0_臺北花市,20,8,內湖區,2023-05-27 13:49:15,新湖三路28號前人行道,12,1
797,YouBike2.0_行善社會住宅,23,3,內湖區,2023-05-27 13:03:15,行愛路與新湖一路口西南側,20,1
798,YouBike2.0_康寧路三段99巷17弄口,15,1,內湖區,2023-05-27 14:08:04,康寧路三段99巷19號對側,14,1
799,YouBike2.0_堤頂大道二段407巷口,15,1,內湖區,2023-05-27 13:37:04,堤頂大道二段405號前,14,1
800,YouBike2.0_海德堡科技大樓,12,2,內湖區,2023-05-27 10:03:15,堤頂大道二段473號前,9,1
801,YouBike2.0_致伸科技大樓,17,1,內湖區,2023-05-27 12:38:14,瑞光路669號旁,16,1
802,YouBike2.0_內湖路一段288巷口,20,1,內湖區,2023-05-27 11:22:15,內湖路一段290號前,19,1
803,YouBike2.0_大都會客運內湖站,15,0,內湖區,2023-05-27 10:25:05,民權東路六段11巷25號對側,15,1
804,YouBike2.0_瑞湖公園,15,1,內湖區,2023-05-27 10:44:04,民權東路六段15巷/民權東路六段19巷,14,1
805,YouBike2.0_台灣世曦大樓,16,1,內湖區,2023-05-27 14:17:34,陽光街323號,14,1
806,YouBike2.0_遠雄時代總部,14,8,內湖區,2023-05-27 13:47:14,瑞光路423號,6,1
807,YouBike2.0_瑞光路358巷口,14,3,內湖區,2023-05-27 10:48:14,瑞光路/瑞光路358巷,11,1
809,YouBike2.0_世紀經貿,16,6,內湖區,2023-05-27 14:11:15,內湖路一段396號,10,1
810,YouBike2.0_民權東路六段56巷口,15,4,內湖區,2023-05-27 13:18:14,民權東路六段56巷7號對側,10,1
811,YouBike2.0_新湖三行忠路72巷口,15,1,內湖區,2023-05-27 07:39:04,新湖三路/行忠路72巷,13,1
812,YouBike2.0_新湖三新湖二146巷口,15,0,內湖區,2023-05-27 13:25:05,新湖三路122、124號對側,15,1
814,YouBike2.0_新光基湖大樓,19,8,內湖區,2023-05-27 13:29:14,基湖路12號,11,1
815,YouBike2.0_內湖路一段120巷15弄,19,3,內湖區,2023-05-27 06:54:14,內湖路一段120巷15弄8號對側,16,1
816,YouBike2.0_北勢湖環保公園(堤頂大道側),14,1,內湖區,2023-05-27 12:09:04,堤頂大道二段501號前,13,1
817,YouBike2.0_達爾文大樓,15,4,內湖區,2023-05-27 14:15:15,洲子街61號,11,1
819,YouBike2.0_洲美運動公園,20,8,北投區,2023-05-27 14:08:15,洲美街271號(對面),12,1
821,YouBike2.0_捷運明德站(1號出口),23,9,北投區,2023-05-27 14:02:14,西安街一段明德路口(東南側),12,1
822,YouBike2.0_文林建民路口,20,6,北投區,2023-05-27 14:09:14,文林北路214-216號(前),14,1
824,YouBike2.0_關渡宮,40,6,北投區,2023-05-27 14:10:20,知行路360號(旁),33,1
826,YouBike2.0_關渡醫院,14,8,北投區,2023-05-27 14:15:15,知行路235巷7號(對面),3,1
827,YouBike2.0_捷運忠義站(1號出口),17,6,北投區,2023-05-27 14:12:15,中央北路四段262號(對面),11,1
828,YouBike2.0_捷運關渡站(1號出口),54,5,北投區,2023-05-27 14:13:15,大度路三段270巷/立功街55巷(西南側),47,1
829,YouBike2.0_捷運關渡站(2號出口),14,2,北投區,2023-05-27 13:46:16,捷運關渡站2號出口外人行道,12,1
830,YouBike2.0_中央北路四段540巷口,19,2,北投區,2023-05-27 13:49:15,中央北路四段529號(對面),17,1
833,YouBike2.0_捷運復興崗站旅客服務中心,15,6,北投區,2023-05-27 13:58:15,中央北路三段185號(前方),9,1
834,YouBike2.0_豐年公園,20,0,北投區,2023-05-27 14:08:04,大業路529號(對面),20,1
835,YouBike2.0_稻香重三路口,15,4,北投區,2023-05-27 13:57:15,稻香重三路口(對面路側),8,1
836,YouBike2.0_國防大學政治作戰學院,30,0,北投區,2023-05-27 14:17:34,中央北路二段167號(對面),28,1
844,YouBike2.0_大業路300巷口,20,9,北投區,2023-05-27 14:12:15,大業路302號(前),6,1
845,YouBike2.0_立農公園,21,5,北投區,2023-05-27 14:15:15,承德路七段/吉利街(西北側),15,1
846,YouBike2.0_北投奇岩長青樂活大樓,15,6,北投區,2023-05-27 13:39:14,三合街一段119號(前),8,1
849,YouBike2.0_陽明大學,30,5,北投區,2023-05-27 14:17:34,東華街二段136號(對面),24,1
852,YouBike2.0_捷運石牌站(1號出口),20,5,北投區,2023-05-27 14:12:15,石牌路一段139號(對面),13,1
854,YouBike2.0_石牌國小,26,8,北投區,2023-05-27 13:51:15,石牌路一段142號(對面),16,1
855,YouBike2.0_振興公園,13,4,北投區,2023-05-27 14:07:14,天母西路109號(對面),8,1
856,YouBike2.0_立農國小,19,9,北投區,2023-05-27 13:13:15,立農街一段201號(對面),10,1
857,YouBike2.0_承德路七段280巷口,17,5,北投區,2023-05-27 14:01:16,承德路七段260號(前),9,1
858,YouBike2.0_致遠一路二段11巷,22,9,北投區,2023-05-27 14:17:34,自強街61巷8號(旁),10,1
859,YouBike2.0_榮富公園,13,0,北投區,2023-05-27 14:03:05,榮華三路2號(旁),13,1
862,YouBike2.0_中央北路四段30巷口,16,6,北投區,2023-05-27 14:18:13,中央北路四段32號(旁),9,1
864,YouBike2.0_捷運新北投站(2號出口),11,5,北投區,2023-05-27 14:06:16,光明路225號(對面),5,1
865,YouBike2.0_復興公園,14,0,北投區,2023-05-27 13:55:11,中和街61號對側,14,1
866,YouBike2.0_承德石牌路口,17,9,北投區,2023-05-27 13:47:14,承德路七段與石牌路一段口北側,8,1
867,YouBike2.0_承德路七段188巷口,16,3,北投區,2023-05-27 14:03:15,承德路七段192-198號前,11,1
870,YouBike2.0_洲美公園,30,5,北投區,2023-05-27 13:59:15,福美路199號旁,25,1
871,YouBike2.0_中和街455巷11弄,13,7,北投區,2023-05-27 12:53:15,中和街455巷11弄6-8號(前),5,1
873,YouBike2.0_文化三杏林一路口,17,2,北投區,2023-05-27 13:59:15,杏林一路3號(旁),15,1
874,YouBike2.0_珠海復興一路口,15,0,北投區,2023-05-27 13:17:22,珠海路/復興一路口(東側),15,1
875,YouBike2.0_裕民二路33巷,15,1,北投區,2023-05-27 14:14:14,裕民二路33巷/裕民六路(西北側),14,1
876,YouBike2.0_新奇岩社會住宅,12,0,北投區,2023-05-27 14:15:04,磺港路269-271號(旁),12,1
877,YouBike2.0_泉源公園,15,7,北投區,2023-05-27 12:47:14,珠海路145號(對側公園),8,1
878,YouBike2.0_奇岩4號綠地,12,6,北投區,2023-05-27 13:46:16,三合街一段79巷16號(對面),5,1
879,YouBike2.0_臺北健康護理大學(教研大樓),15,8,北投區,2023-05-27 13:52:15,石牌路二段185號對側,7,1
881,YouBike2.0_福星公園,18,3,北投區,2023-05-27 11:03:15,文林北路280號(對側公園),14,1
882,YouBike2.0_中庸公園,12,4,北投區,2023-05-27 13:55:23,珠海路1號旁,6,1
883,YouBike2.0_豐年公園_1,18,3,北投區,2023-05-27 13:53:15,大業路539號,15,1
884,YouBike2.0_光明溫泉路口,20,8,北投區,2023-05-27 14:14:14,光明路148號對側人行道,12,1
886,YouBike2.0_致遠新村,15,6,北投區,2023-05-27 14:13:15,秀山路26號(懷遠新村社區入口南側),9,1
